Frame,Spot_ID,Ref_X,Ref_Y,Distorted_X,Distorted_Y,Shift_X,Shift_Y
2,62,368,184,320,185,-48,1
2,63,322,184,138,185,-184,1
2,64,276,184,371,184,95,0
2,65,230,184,227,184,-3,0
2,66,184,184,43,184,-141,0
2,67,138,184,275,183,137,-1
2,68,92,184,417,182,325,-2
2,69,46,184,93,181,47,-3
2,70,460,138,462,141,2,3
2,71,414,138,412,141,-2,3
2,72,368,138,233,141,-135,3
2,73,322,138,323,139,1,1
2,74,276,138,182,139,-94,1
2,75,230,138,94,139,-136,1
2,76,184,138,46,139,-138,1
2,77,138,138,371,138,233,0
2,78,92,138,141,137,49,-1
2,79,46,138,276,136,230,-2
2,80,460,92,273,94,-187,2
2,81,414,92,366,93,-48,1
2,82,368,92,89,93,-279,1
2,83,322,92,47,93,-275,1
2,84,276,92,463,92,187,0
2,85,230,92,417,92,187,0
2,86,184,92,320,91,136,-1
2,87,138,92,230,91,92,-1
2,88,92,92,187,91,95,-1
2,89,46,92,141,90,95,-2
2,90,460,46,136,49,-324,3
2,91,414,46,89,49,-325,3
2,92,368,46,44,49,-324,3
2,93,322,46,416,48,94,2
2,94,276,46,367,48,91,2
2,95,230,46,227,47,-3,1
2,96,184,46,459,46,275,0
2,97,138,46,325,46,187,0
2,98,92,46,277,46,185,0
2,99,46,46,183,43,137,-3
3,0,460,460,273,462,-187,2
3,1,414,460,137,461,-277,1
3,2,368,460,417,459,49,-1
3,3,322,460,227,459,-95,-1
3,4,276,460,44,459,-232,-1
3,5,230,460,463,458,233,-2
3,6,184,460,319,458,135,-2
3,7,138,460,92,458,-46,-2
3,8,92,460,365,457,273,-3
3,9,46,460,181,457,135,-3
3,10,460,414,365,417,-95,3
3,11,414,414,186,417,-228,3
3,12,368,414,278,415,-90,1
3,13,322,414,47,415,-275,1
3,14,276,414,321,414,45,0
3,15,230,414,233,413,3,-1
3,16,184,414,137,413,-47,-1
3,17,138,414,460,412,322,-2
3,18,92,414,93,412,1,-2
3,19,46,414,416,411,370,-3
3,20,460,368,461,371,1,3
3,21,414,368,229,371,-185,3
3,22,368,368,45,371,-323,3
3,23,322,368,417,370,95,2
3,24,276,368,320,370,44,2
3,25,230,368,92,369,-138,1
3,26,184,368,369,368,185,0
3,27,138,368,135,366,-3,-2
3,28,92,368,275,365,183,-3
3,29,46,368,182,365,136,-3
3,30,460,322,94,325,-366,3
3,31,414,322,186,324,-228,2
3,32,368,322,44,323,-324,1
3,33,322,322,279,321,-43,-1
3,34,276,322,230,321,-46,-1
3,35,230,322,414,320,184,-2
3,36,184,322,141,320,-43,-2
3,37,138,322,462,319,324,-3
3,38,92,322,368,319,276,-3
3,39,46,322,325,319,279,-3
3,40,460,276,184,279,-276,3
3,41,414,276,44,278,-370,2
3,42,368,276,460,276,92,0
3,43,322,276,366,275,44,-1
3,44,276,276,325,275,49,-1
3,45,230,276,231,275,1,-1
3,46,184,276,138,275,-46,-1
3,47,138,276,89,275,-49,-1
3,48,92,276,412,274,320,-2
3,49,46,276,276,274,230,-2
3,50,460,230,140,233,-320,3
3,51,414,230,45,233,-369,3
3,52,368,230,365,232,-3,2
3,53,322,230,461,229,139,-1
3,54,276,230,227,229,-49,-1
3,55,230,230,320,228,90,-2
3,56,184,230,277,228,93,-2
3,57,138,230,411,227,273,-3
3,58,92,230,184,227,92,-3
3,59,46,230,91,227,45,-3
3,60,460,184,185,187,-275,3
3,61,414,184,457,186,43,2
3,62,368,184,277,186,-91,2
3,63,322,184,92,185,-230,1
3,64,276,184,227,184,-49,0
3,65,230,184,365,182,135,-2
3,66,184,184,320,182,136,-2
3,67,138,184,139,182,1,-2
3,68,92,184,416,181,324,-3
3,69,46,184,49,181,3,-3
